5;7 -3 -10 4 2 8 -2 4 -5 -2
6;-4 3 -10 5 3 -7 -3 7 -6 3
3;-7 0 -45 34 -24 7
2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
28;68 1 26 6 7 -87 -19 -53 91 17 -35 -83 24 61 -97 -93 34 70 44 73 -7 91 -41 -35 20 -79 -99 74 33 -35 25 -41 61 66 25 -66 -28 71 94 -82 80 85 -23 -96 -54 -17 20 -5 -42 40 67 -2 37
17;-25 -90 -4 99 -56 -15 -96 46 -82 63 7 -90 -6 36 -91 -93 -48 -90 -22 -62 5 -86 -79 25 -50 -97 91 14 65 80 10 -80 66 48 -38 87 -6 -97 -20 -97 90 10 57 98 60 -49 75
30;74 37 62 9 -29 70 -68 37 96 -9 54 -45 -85 2 27 -33 -63 -91 46 -71 68 35 51 -68 -31 -74 -43 -13 52 -25 -23 -13 -30 60 68 -26 -35 -62 -50 36 87 -16 -86 63 -80 -64 -91
27;77 -5 3 -10 81 -5 85 98 -35 -24 -98 44 89 -66 -25 85 -72 78 -24 99 1 98 -58 -6 77 -56 -5 91 -32 -50 80 -89 -31 58 -96 -58 34 80 -39 99 -71 -26 -48 -19 72 -82 82 -10 89 0 -2 -51 54 -37 6 -34 46 22 93 -22 27 47 25 87 -60 -99 -8 98 78 18 12 -45 33 -73 84 98 57 -90 -42 -39 -45 37 -28 38 -73 93 47 -1 35 -95 98
42;52 -64 -46 14 -99 -61 95 52 60 -33 -34 -52 -68 17 -44 50 -97 79 33 49 11 43 5 25 -64 18 13 -12 -39 50 -17 -61 2 -92 -88 -40 70 -58 -75 52 92 21 -11 -76 49 -66 62 73 72 -53 -45 -12 71 -96 8 -71 -54 -18 -17 -25 23 -46 -26 47 48 -45 -91 -95 -54 67 -79 60 -26 0 -56 99 -34 8 58 22 -10 -57 27 96 -77
40;-10 65 38 70 86 10 -49 52 -98 14 -14 -80 -52 16 45 -52 97 -93 64 -8 83 -71 6 -75 -97 -21 80 49 86 -16 -18 -8 3 -92 37 66 23 -37 81 -44 -56 82 -71 3 -28 -73 72 -21 94 0 22 -22 -65 2 97 -77 60 -26
41;-55 19 73 83 55 98 41 31 -39 -40 -10 -38 27 -55 33 80 10 -26 -4 -44 -58 83 75 -82 -94 95 -59 -87 23 -33 61 2 -70 31 54 9 -63 -17 -80 57 -52 67 -51 -73 -58 -90 -24 5 99 13
13;-31 -50 16 -56 8 -47 29 37 -83 80 -93 -55 -63 74 49 22 -70 43 -71 -3 4 -1 87 -45 -27 -69 75 51 30 4 -8 -67 -37 -88 -36 -29 -49 -49 49 13 -26 71 15 -41 -62 35 -6 -83 -84 -5 65 89 85 -57 -84 -88 65 8 -16 -68 -71 -22 14 -45 -72 85 14 8 67 -69 -15 -24 -80 13 -19 65 -49 86
35;38 15 -54 39 25 31 -47 32 -54 85 83 -6 90 -83 22 27 31 -66 -55 13 70 -30 13 4 15 31 -58 -86 51 52 5 24 -82 -65 -35
45;31 -47 -41 12 19 93 4 37 -51 46 20 45 -97 -1 -34 97 -42 -13 31 29 -57 54 94 4 75 -41 -72 18 -17 -27 65 49 22 -98 -62 92 39 30 3 62 13 6 43 46 6 -29 -65 -54 24 79 3 -53 -26 6 51 77 -32 -15 55 -41 89 75 -71 -63 40 -84 -81 39 50 -50 -80 -79 15 5
47;-6 -68 75 -54 -44 -4 22 48 42 71 -88 29 28 -13 46 26 -90 -29 51 -48 -83 -74 -22 -40 32 -20 2 -30 23 47 47 -23 -53 -37 -67 -63 75 -77 81 -55 92 -23 64 51 -67 -30 -65 71 99 -46 -95 23 -66 -32 -91 94 17 -81 26 -30 25 -70 -39 -2 -37 61 -46 21 43 -70 35 -68 51 15 -95 -11 90 32 51 54 44 84
19;-64 48 -93 -89 -51 -16 24 -41 -20 1 66 -8 -61 87 75 -19 69 6 27 8 -89 -72 63 49 4 -60 -29 9 90 70 12 -38 39 -20 -6 -84 61 -32 -7 18 -9 93 62 80 -30 -99 49 -46 28 -13 86 6 -97 -5 90 -89 94 73 -15 36 85 -50 44 31 67 -80
30;60 -72 -59 10 73 -72 2 75 -5 78 2 -41 60 -38 15 35 -2 42 -9 -13 19 -54 20 4 12 18 -8 -18 18 63 -27 41 -55 -49 -61 -13 35 -46
20;73 -74 -26 27 59 -45 -43 -95 -19 -38 50 17 72 46 -2 96 -54 87 -66 -20 86 -99 -71 -69
24;83 99 -7 -65 -26 78 80 -44 -26 -93 -61 82 -86 -75 36 97 -81 -51 -47 9 -46 -52 49 -33 40
16;-5 53 -97 -46 -22 -63 -84 49 44 49 -14 -94 43 -85 63 4 86 96
1;-48 76 -94 38 67 55 -13 -83 14 -85 78 8 -55 -24 22 -25 94 -24 16 -40 8 -18 60 -75 -49 -19 56 72 80 -84 17 0 11 -61 -94 69 -89 -18 -29 -64 39 25 89 74 43 23 -16 -83 84 -75 -22 -8 -20 -43 45 43 -25 87 -11 -6 85 -61 -76 80 53 46 28 -89 -34 -25 84 -3 -38 27 -3 -48 59 -78 70 85 -19
21;83 -92 -69 28 97 75 59 -24 -86 98 56 45 -14 40 -94 -12 -93 19 -44 -41 -80 -46 57 -84 14 -65 90 -3 3 -64 -96 -31 27 15 37 23 -20 51
