70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87;8
34,35,36,37,38,39,40,41,42,43,44,45,46,47;4
40,41,42,43,44,45,46,47,48,49,50,51,52,53,54;7
1,2,3,4,5;2
13,14,15,16,17,18,19,20,21,22,23,24,25;9
36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55;2
93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112;5
36,37,38,39,40,41,42,43,44,45;6
11,12,13,14,15,16,17,18,19,20,21;3
74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92;7
9,10,11,12,13,14,15,16;3
72,73,74,75,76,77,78,79,80,81,82,83,84,85,86;2
27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45;8
40,41,42,43,44,45,46,47,48,49,50,51,52,53,54;1
1,2,3,4,5;3
56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73;1
34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49;6
63,64,65,66,67,68,69,70,71,72;4
100,101;1
22,23,24,25,26,27,28,29,30;3
